tripmode,tourmode,purpose,value,grp_var
5,Total,idisc,42799.0,idiscTotal
5,Total,imain,39808.0,imainTotal
5,Total,jdisc,8887.0,jdiscTotal
5,Total,jmain,7168.0,jmainTotal
5,Total,schl,7693.0,schlTotal
5,Total,total,135969.0,totalTotal
5,Total,univ,3503.0,univTotal
5,Total,work,24807.0,workTotal
5,Total,atwork,1304.0,atworkTotal
5,Bike/Moped,idisc,42799.0,idisctourmode5
5,Bike/Moped,imain,39808.0,imaintourmode5
5,Bike/Moped,jdisc,8887.0,jdisctourmode5
5,Bike/Moped,jmain,7168.0,jmaintourmode5
5,Bike/Moped,schl,7693.0,schltourmode5
5,Bike/Moped,total,135969.0,totaltourmode5
5,Bike/Moped,univ,3503.0,univtourmode5
5,Bike/Moped,work,24807.0,worktourmode5
5,Bike/Moped,atwork,1304.0,atworktourmode5
5,Auto 2 Person,idisc,0.0,idisctourmode2
5,Auto 2 Person,imain,0.0,imaintourmode2
5,Auto 2 Person,jdisc,0.0,jdisctourmode2
5,Auto 2 Person,jmain,0.0,jmaintourmode2
5,Auto 2 Person,schl,0.0,schltourmode2
5,Auto 2 Person,total,0.0,totaltourmode2
5,Auto 2 Person,univ,0.0,univtourmode2
5,Auto 2 Person,work,0.0,worktourmode2
5,Auto 2 Person,atwork,0.0,atworktourmode2
5,Auto 3+ Person,idisc,0.0,idisctourmode3
5,Auto 3+ Person,imain,0.0,imaintourmode3
5,Auto 3+ Person,jdisc,0.0,jdisctourmode3
5,Auto 3+ Person,jmain,0.0,jmaintourmode3
5,Auto 3+ Person,schl,0.0,schltourmode3
5,Auto 3+ Person,total,0.0,totaltourmode3
5,Auto 3+ Person,univ,0.0,univtourmode3
5,Auto 3+ Person,work,0.0,worktourmode3
5,Auto 3+ Person,atwork,0.0,atworktourmode3
5,KNR-Transit,idisc,0.0,idisctourmode8
5,KNR-Transit,imain,0.0,imaintourmode8
5,KNR-Transit,jdisc,0.0,jdisctourmode8
5,KNR-Transit,jmain,0.0,jmaintourmode8
5,KNR-Transit,schl,0.0,schltourmode8
5,KNR-Transit,total,0.0,totaltourmode8
5,KNR-Transit,univ,0.0,univtourmode8
5,KNR-Transit,work,0.0,worktourmode8
5,KNR-Transit,atwork,0.0,atworktourmode8
5,PNR-Transit,idisc,0.0,idisctourmode7
5,PNR-Transit,imain,0.0,imaintourmode7
5,PNR-Transit,jdisc,0.0,jdisctourmode7
5,PNR-Transit,jmain,0.0,jmaintourmode7
5,PNR-Transit,schl,0.0,schltourmode7
5,PNR-Transit,total,0.0,totaltourmode7
5,PNR-Transit,univ,0.0,univtourmode7
5,PNR-Transit,work,0.0,worktourmode7
5,PNR-Transit,atwork,0.0,atworktourmode7
5,School Bus,idisc,0.0,idisctourmode10
5,School Bus,imain,0.0,imaintourmode10
5,School Bus,jdisc,0.0,jdisctourmode10
5,School Bus,jmain,0.0,jmaintourmode10
5,School Bus,schl,0.0,schltourmode10
5,School Bus,total,0.0,totaltourmode10
5,School Bus,univ,0.0,univtourmode10
5,School Bus,work,0.0,worktourmode10
5,School Bus,atwork,0.0,atworktourmode10
5,Auto SOV,idisc,0.0,idisctourmode1
5,Auto SOV,imain,0.0,imaintourmode1
5,Auto SOV,jdisc,0.0,jdisctourmode1
5,Auto SOV,jmain,0.0,jmaintourmode1
5,Auto SOV,schl,0.0,schltourmode1
5,Auto SOV,total,0.0,totaltourmode1
5,Auto SOV,univ,0.0,univtourmode1
5,Auto SOV,work,0.0,worktourmode1
5,Auto SOV,atwork,0.0,atworktourmode1
5,Taxi,idisc,0.0,idisctourmode9
5,Taxi,imain,0.0,imaintourmode9
5,Taxi,jdisc,0.0,jdisctourmode9
5,Taxi,jmain,0.0,jmaintourmode9
5,Taxi,schl,0.0,schltourmode9
5,Taxi,total,0.0,totaltourmode9
5,Taxi,univ,0.0,univtourmode9
5,Taxi,work,0.0,worktourmode9
5,Taxi,atwork,0.0,atworktourmode9
5,Auto SOV,idisc,0.0,idisctourmode4
5,Auto SOV,imain,0.0,imaintourmode4
5,Auto SOV,jdisc,0.0,jdisctourmode4
5,Auto SOV,jmain,0.0,jmaintourmode4
5,Auto SOV,schl,0.0,schltourmode4
5,Auto SOV,total,0.0,totaltourmode4
5,Auto SOV,univ,0.0,univtourmode4
5,Auto SOV,work,0.0,worktourmode4
5,Auto SOV,atwork,0.0,atworktourmode4
5,Walk-Transit,idisc,0.0,idisctourmode6
5,Walk-Transit,imain,0.0,imaintourmode6
5,Walk-Transit,jdisc,0.0,jdisctourmode6
5,Walk-Transit,jmain,0.0,jmaintourmode6
5,Walk-Transit,schl,0.0,schltourmode6
5,Walk-Transit,total,0.0,totaltourmode6
5,Walk-Transit,univ,0.0,univtourmode6
5,Walk-Transit,work,0.0,worktourmode6
5,Walk-Transit,atwork,0.0,atworktourmode6
2,Total,idisc,512701.0,idiscTotal
2,Total,imain,1216935.0,imainTotal
2,Total,jdisc,235375.0,jdiscTotal
2,Total,jmain,382039.0,jmainTotal
2,Total,schl,168196.0,schlTotal
2,Total,total,2988726.0,totalTotal
2,Total,univ,12445.0,univTotal
2,Total,work,397289.0,workTotal
2,Total,atwork,63745.0,atworkTotal
2,Bike/Moped,idisc,0.0,idisctourmode5
2,Bike/Moped,imain,0.0,imaintourmode5
2,Bike/Moped,jdisc,0.0,jdisctourmode5
2,Bike/Moped,jmain,0.0,jmaintourmode5
2,Bike/Moped,schl,0.0,schltourmode5
2,Bike/Moped,total,0.0,totaltourmode5
2,Bike/Moped,univ,0.0,univtourmode5
2,Bike/Moped,work,0.0,worktourmode5
2,Bike/Moped,atwork,0.0,atworktourmode5
2,Auto 2 Person,idisc,428037.0,idisctourmode2
2,Auto 2 Person,imain,957603.0,imaintourmode2
2,Auto 2 Person,jdisc,229493.0,jdisctourmode2
2,Auto 2 Person,jmain,365384.0,jmaintourmode2
2,Auto 2 Person,schl,97143.0,schltourmode2
2,Auto 2 Person,total,2495671.0,totaltourmode2
2,Auto 2 Person,univ,11690.0,univtourmode2
2,Auto 2 Person,work,345226.0,worktourmode2
2,Auto 2 Person,atwork,61094.0,atworktourmode2
2,Auto 3+ Person,idisc,84664.0,idisctourmode3
2,Auto 3+ Person,imain,259332.0,imaintourmode3
2,Auto 3+ Person,jdisc,5882.0,jdisctourmode3
2,Auto 3+ Person,jmain,16655.0,jmaintourmode3
2,Auto 3+ Person,schl,51533.0,schltourmode3
2,Auto 3+ Person,total,473535.0,totaltourmode3
2,Auto 3+ Person,univ,755.0,univtourmode3
2,Auto 3+ Person,work,52063.0,worktourmode3
2,Auto 3+ Person,atwork,2651.0,atworktourmode3
2,KNR-Transit,idisc,0.0,idisctourmode8
2,KNR-Transit,imain,0.0,imaintourmode8
2,KNR-Transit,jdisc,0.0,jdisctourmode8
2,KNR-Transit,jmain,0.0,jmaintourmode8
2,KNR-Transit,schl,0.0,schltourmode8
2,KNR-Transit,total,0.0,totaltourmode8
2,KNR-Transit,univ,0.0,univtourmode8
2,KNR-Transit,work,0.0,worktourmode8
2,KNR-Transit,atwork,0.0,atworktourmode8
2,PNR-Transit,idisc,0.0,idisctourmode7
2,PNR-Transit,imain,0.0,imaintourmode7
2,PNR-Transit,jdisc,0.0,jdisctourmode7
2,PNR-Transit,jmain,0.0,jmaintourmode7
2,PNR-Transit,schl,0.0,schltourmode7
2,PNR-Transit,total,0.0,totaltourmode7
2,PNR-Transit,univ,0.0,univtourmode7
2,PNR-Transit,work,0.0,worktourmode7
2,PNR-Transit,atwork,0.0,atworktourmode7
2,School Bus,idisc,0.0,idisctourmode10
2,School Bus,imain,0.0,imaintourmode10
2,School Bus,jdisc,0.0,jdisctourmode10
2,School Bus,jmain,0.0,jmaintourmode10
2,School Bus,schl,19520.0,schltourmode10
2,School Bus,total,19520.0,totaltourmode10
2,School Bus,univ,0.0,univtourmode10
2,School Bus,work,0.0,worktourmode10
2,School Bus,atwork,0.0,atworktourmode10
2,Auto SOV,idisc,0.0,idisctourmode1
2,Auto SOV,imain,0.0,imaintourmode1
2,Auto SOV,jdisc,0.0,jdisctourmode1
2,Auto SOV,jmain,0.0,jmaintourmode1
2,Auto SOV,schl,0.0,schltourmode1
2,Auto SOV,total,0.0,totaltourmode1
2,Auto SOV,univ,0.0,univtourmode1
2,Auto SOV,work,0.0,worktourmode1
2,Auto SOV,atwork,0.0,atworktourmode1
2,Taxi,idisc,0.0,idisctourmode9
2,Taxi,imain,0.0,imaintourmode9
2,Taxi,jdisc,0.0,jdisctourmode9
2,Taxi,jmain,0.0,jmaintourmode9
2,Taxi,schl,0.0,schltourmode9
2,Taxi,total,0.0,totaltourmode9
2,Taxi,univ,0.0,univtourmode9
2,Taxi,work,0.0,worktourmode9
2,Taxi,atwork,0.0,atworktourmode9
2,Auto SOV,idisc,0.0,idisctourmode4
2,Auto SOV,imain,0.0,imaintourmode4
2,Auto SOV,jdisc,0.0,jdisctourmode4
2,Auto SOV,jmain,0.0,jmaintourmode4
2,Auto SOV,schl,0.0,schltourmode4
2,Auto SOV,total,0.0,totaltourmode4
2,Auto SOV,univ,0.0,univtourmode4
2,Auto SOV,work,0.0,worktourmode4
2,Auto SOV,atwork,0.0,atworktourmode4
2,Walk-Transit,idisc,0.0,idisctourmode6
2,Walk-Transit,imain,0.0,imaintourmode6
2,Walk-Transit,jdisc,0.0,jdisctourmode6
2,Walk-Transit,jmain,0.0,jmaintourmode6
2,Walk-Transit,schl,0.0,schltourmode6
2,Walk-Transit,total,0.0,totaltourmode6
2,Walk-Transit,univ,0.0,univtourmode6
2,Walk-Transit,work,0.0,worktourmode6
2,Walk-Transit,atwork,0.0,atworktourmode6
3,Total,idisc,466818.0,idiscTotal
3,Total,imain,901342.0,imainTotal
3,Total,jdisc,135839.0,jdiscTotal
3,Total,jmain,139015.0,jmainTotal
3,Total,schl,317358.0,schlTotal
3,Total,total,2134014.0,totalTotal
3,Total,univ,2759.0,univTotal
3,Total,work,153262.0,workTotal
3,Total,atwork,17622.0,atworkTotal
3,Bike/Moped,idisc,0.0,idisctourmode5
3,Bike/Moped,imain,0.0,imaintourmode5
3,Bike/Moped,jdisc,0.0,jdisctourmode5
3,Bike/Moped,jmain,0.0,jmaintourmode5
3,Bike/Moped,schl,0.0,schltourmode5
3,Bike/Moped,total,0.0,totaltourmode5
3,Bike/Moped,univ,0.0,univtourmode5
3,Bike/Moped,work,0.0,worktourmode5
3,Bike/Moped,atwork,0.0,atworktourmode5
3,Auto 2 Person,idisc,0.0,idisctourmode2
3,Auto 2 Person,imain,0.0,imaintourmode2
3,Auto 2 Person,jdisc,0.0,jdisctourmode2
3,Auto 2 Person,jmain,0.0,jmaintourmode2
3,Auto 2 Person,schl,0.0,schltourmode2
3,Auto 2 Person,total,0.0,totaltourmode2
3,Auto 2 Person,univ,0.0,univtourmode2
3,Auto 2 Person,work,0.0,worktourmode2
3,Auto 2 Person,atwork,0.0,atworktourmode2
3,Auto 3+ Person,idisc,466818.0,idisctourmode3
3,Auto 3+ Person,imain,901342.0,imaintourmode3
3,Auto 3+ Person,jdisc,135839.0,jdisctourmode3
3,Auto 3+ Person,jmain,139015.0,jmaintourmode3
3,Auto 3+ Person,schl,288106.0,schltourmode3
3,Auto 3+ Person,total,2104762.0,totaltourmode3
3,Auto 3+ Person,univ,2759.0,univtourmode3
3,Auto 3+ Person,work,153262.0,worktourmode3
3,Auto 3+ Person,atwork,17622.0,atworktourmode3
3,KNR-Transit,idisc,0.0,idisctourmode8
3,KNR-Transit,imain,0.0,imaintourmode8
3,KNR-Transit,jdisc,0.0,jdisctourmode8
3,KNR-Transit,jmain,0.0,jmaintourmode8
3,KNR-Transit,schl,0.0,schltourmode8
3,KNR-Transit,total,0.0,totaltourmode8
3,KNR-Transit,univ,0.0,univtourmode8
3,KNR-Transit,work,0.0,worktourmode8
3,KNR-Transit,atwork,0.0,atworktourmode8
3,PNR-Transit,idisc,0.0,idisctourmode7
3,PNR-Transit,imain,0.0,imaintourmode7
3,PNR-Transit,jdisc,0.0,jdisctourmode7
3,PNR-Transit,jmain,0.0,jmaintourmode7
3,PNR-Transit,schl,0.0,schltourmode7
3,PNR-Transit,total,0.0,totaltourmode7
3,PNR-Transit,univ,0.0,univtourmode7
3,PNR-Transit,work,0.0,worktourmode7
3,PNR-Transit,atwork,0.0,atworktourmode7
3,School Bus,idisc,0.0,idisctourmode10
3,School Bus,imain,0.0,imaintourmode10
3,School Bus,jdisc,0.0,jdisctourmode10
3,School Bus,jmain,0.0,jmaintourmode10
3,School Bus,schl,29252.0,schltourmode10
3,School Bus,total,29252.0,totaltourmode10
3,School Bus,univ,0.0,univtourmode10
3,School Bus,work,0.0,worktourmode10
3,School Bus,atwork,0.0,atworktourmode10
3,Auto SOV,idisc,0.0,idisctourmode1
3,Auto SOV,imain,0.0,imaintourmode1
3,Auto SOV,jdisc,0.0,jdisctourmode1
3,Auto SOV,jmain,0.0,jmaintourmode1
3,Auto SOV,schl,0.0,schltourmode1
3,Auto SOV,total,0.0,totaltourmode1
3,Auto SOV,univ,0.0,univtourmode1
3,Auto SOV,work,0.0,worktourmode1
3,Auto SOV,atwork,0.0,atworktourmode1
3,Taxi,idisc,0.0,idisctourmode9
3,Taxi,imain,0.0,imaintourmode9
3,Taxi,jdisc,0.0,jdisctourmode9
3,Taxi,jmain,0.0,jmaintourmode9
3,Taxi,schl,0.0,schltourmode9
3,Taxi,total,0.0,totaltourmode9
3,Taxi,univ,0.0,univtourmode9
3,Taxi,work,0.0,worktourmode9
3,Taxi,atwork,0.0,atworktourmode9
3,Auto SOV,idisc,0.0,idisctourmode4
3,Auto SOV,imain,0.0,imaintourmode4
3,Auto SOV,jdisc,0.0,jdisctourmode4
3,Auto SOV,jmain,0.0,jmaintourmode4
3,Auto SOV,schl,0.0,schltourmode4
3,Auto SOV,total,0.0,totaltourmode4
3,Auto SOV,univ,0.0,univtourmode4
3,Auto SOV,work,0.0,worktourmode4
3,Auto SOV,atwork,0.0,atworktourmode4
3,Walk-Transit,idisc,0.0,idisctourmode6
3,Walk-Transit,imain,0.0,imaintourmode6
3,Walk-Transit,jdisc,0.0,jdisctourmode6
3,Walk-Transit,jmain,0.0,jmaintourmode6
3,Walk-Transit,schl,0.0,schltourmode6
3,Walk-Transit,total,0.0,totaltourmode6
3,Walk-Transit,univ,0.0,univtourmode6
3,Walk-Transit,work,0.0,worktourmode6
3,Walk-Transit,atwork,0.0,atworktourmode6
8,Total,idisc,1847.0,idiscTotal
8,Total,imain,1135.0,imainTotal
8,Total,jdisc,264.0,jdiscTotal
8,Total,jmain,56.0,jmainTotal
8,Total,schl,336.0,schlTotal
8,Total,total,15510.0,totalTotal
8,Total,univ,2157.0,univTotal
8,Total,work,9431.0,workTotal
8,Total,atwork,286.0,atworkTotal
8,Bike/Moped,idisc,0.0,idisctourmode5
8,Bike/Moped,imain,0.0,imaintourmode5
8,Bike/Moped,jdisc,0.0,jdisctourmode5
8,Bike/Moped,jmain,0.0,jmaintourmode5
8,Bike/Moped,schl,0.0,schltourmode5
8,Bike/Moped,total,0.0,totaltourmode5
8,Bike/Moped,univ,0.0,univtourmode5
8,Bike/Moped,work,0.0,worktourmode5
8,Bike/Moped,atwork,0.0,atworktourmode5
