"","taz","freq"
"1",1,0
"2",2,158
"3",3,2
"4",4,39
"5",5,318
"6",6,447
"7",7,257
"8",8,50
"9",9,70
"10",10,8
"11",11,60
"12",12,55
"13",13,0
"14",14,53
"15",15,29
"16",16,62
"17",17,110
"18",18,21
"19",19,58
"20",20,136
"21",21,17
"22",22,58
"23",23,163
"24",24,3
"25",25,13
"26",26,117
"27",27,8
"28",28,17
"29",29,16
"30",30,146
"31",31,16
"32",32,6
"33",33,201
"34",34,72
"35",35,66
"36",36,4
"37",37,50
"38",38,12
"39",39,7
"40",40,208
"41",41,14
"42",42,52
"43",43,133
"44",44,42
"45",45,9
"46",46,32
"47",47,36
"48",48,93
"49",49,54
"50",50,20
"51",51,90
"52",52,5
"53",53,196
"54",54,96
"55",55,154
"56",56,138
"57",57,785
"58",58,3
"59",59,100
"60",60,37
"61",61,25
"62",62,59
"63",63,800
"64",64,1723
"65",65,172
"66",66,1118
"67",67,1769
"68",68,234
"69",69,555
"70",70,318
"71",71,1596
"72",72,326
"73",73,89
"74",74,0
"75",75,12
"76",76,31
"77",77,20
"78",78,14
"79",79,16
"80",80,13
"81",81,39
"82",82,114
"83",83,682
"84",84,646
"85",85,138
"86",86,110
"87",87,222
"88",88,0
"89",89,19
"90",90,0
"91",91,31
"92",92,1
"93",93,537
"94",94,4
"95",95,21
"96",96,128
"97",97,1027
"98",98,1260
"99",99,648
"100",100,74
"101",101,52
"102",102,24
"103",103,97
"104",104,978
"105",105,498
"106",106,29
"107",107,297
"108",108,12
"109",109,286
"110",110,188
"111",111,83
"112",112,822
"113",113,340
"114",114,579
"115",115,281
"116",116,83
"117",117,151
"118",118,330
"119",119,125
"120",120,313
"121",121,120
"122",122,167
"123",123,45
"124",124,3
"125",125,23
"126",126,13
"127",127,15
"128",128,92
"129",129,4
"130",130,38
"131",131,25
"132",132,45
"133",133,48
"134",134,115
"135",135,158
"136",136,247
"137",137,64
"138",138,203
"139",139,55
"140",140,0
"141",141,70
"142",142,131
"143",143,7
"144",144,30
"145",145,15
"146",146,95
"147",147,72
"148",148,16
"149",149,78
"150",150,27
"151",151,99
"152",152,6
"153",153,80
"154",154,28
"155",155,42
"156",156,828
"157",157,23
"158",158,287
"159",159,154
"160",160,48
"161",161,162
"162",162,104
"163",163,466
"164",164,370
"165",165,36
"166",166,62
"167",167,514
"168",168,220
"169",169,191
"170",170,33
"171",171,144
"172",172,279
"173",173,1458
"174",174,339
"175",175,463
"176",176,98
"177",177,898
"178",178,413
"179",179,1117
"180",180,535
"181",181,384
"182",182,25
"183",183,154
"184",184,1094
"185",185,43
"186",186,552
"187",187,586
"188",188,151
"189",189,424
"190",190,705
"191",191,289
"192",192,43
"193",193,18
"194",194,111
"195",195,149
"196",196,652
"197",197,2626
"198",198,221
"199",199,23
"200",200,858
"201",201,2037
"202",202,2844
"203",203,468
"204",204,208
"205",205,854
"206",206,509
"207",207,836
"208",208,13
"209",209,43
"210",210,339
"211",211,338
"212",212,138
"213",213,111
"214",214,870
"215",215,556
"216",216,72
"217",217,90
"218",218,2
"219",219,447
"220",220,1068
"221",221,555
"222",222,460
"223",223,379
"224",224,266
"225",225,1218
"226",226,2215
"227",227,2873
"228",228,2887
"229",229,1009
"230",230,216
"231",231,581
"232",232,2757
"233",233,39
"234",234,21
"235",235,233
"236",236,956
"237",237,342
"238",238,766
"239",239,146
"240",240,577
"241",241,557
"242",242,109
"243",243,2471
"244",244,3789
"245",245,433
"246",246,1586
"247",247,417
"248",248,609
"249",249,768
"250",250,1300
"251",251,191
"252",252,280
"253",253,277
"254",254,2977
"255",255,217
"256",256,2101
"257",257,2083
"258",258,698
"259",259,4977
"260",260,1027
"261",261,135
"262",262,42
