model_selector,segment,HOUSEHOLDS,RET_EMP,NRET_EMP,AMC_EMP,MAN_EMP,OFF_EMP,MED1_EMP,MED2_EMP,RST_EMP,K12_EMP,ENT_EMP,K_8,G9_12,ENROLLED
workplace,work_low,0,0.905,2.43425,0.31,0.504,0.21,0,0,0,0,0,0,0,0
workplace,work_med,0,0.883,1.95775,0.359,0.944,0.239,0,0,0,0,0,0,0,0
workplace,work_high,0,0.593,1.39125,0.297,1,1.5,0,0,0,0,0,0,0,0
workplace,work_veryhigh,0,0.363,1.08075,0.162,1,2,0,0,0,0,0,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0,0,0,0,1
school,gradeschool,0,0,0,0,0,0,0,0,0,0,0,1,0,0
school,highschool,0,0,0,0,0,0,0,0,0,0,0,0,1,0
non_mandatory,escort,0.192,0.188,1.033,0,0,0,0,0,0,0,0,1,0.768,0
non_mandatory,shopping,0,1,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,eatout,0.004,0.283,1,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othmaint,0.029,0.587,0.3425,0,0,1.75,0,0,0,0,0,0,0,0
non_mandatory,social,0.487,0,1,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othdiscr,0.184,0.185,1.081,0,0,0.7,0,0,0,0,0,0,0,0
atwork,atwork,0.03,1,0.01225,0,0,0.1,0,0,0,0,0,0,0,0
trip,work,0,1,4,1,1,1,0,0,0,0,0,0,0,0
trip,escort,0.192,0.188,1.033,0,0,0,0,0,0,0,0,1,0.768,0
trip,shopping,0,1,0.005,0,0,0,0,0,0,0,0,0,0,0
trip,eatout,0.004,0.283,1,0,0,0,0,0,0,0,0,0,0,0
trip,othmaint,0.029,0.587,1.8985,0,0,0.242,0,0,0,0,0,0,0,0
trip,social,0.487,0,1.177,0,0,0,0,0,0,0,0,0,0,0
trip,othdiscr,0.184,0.185,1.596,0,0,0.143,0,0,0,0,0,0,0,0
trip,univ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
# not needed as school is not chosen as an intermediate trip destination,,,,,,,,,,,,,,,0
#trip,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#trip,highschool,0,0,0,0,0,0,0,0,0,0,0,1,1,0
